"ValueID","PerfID","Perf_Value","Report_info_ID","ReportNo","ActiveStatus","CreatedDate"
"133","8","Coagulation,25,100,11,21,24,Pass","90","","",""
"134","13","2,Breath rate (IE),20,20,0,± 1BPM,Pass","90","","",""
"135","13","3,I:E Ratio (IE),1:1.5,1:1.5,0:0,± 0.5,Pass","90","","",""
"136","13","4,I:E Ratio (IE),2:1,2:1,0,± 0.5,Pass","90","","",""
"137","13","5,Tidal Volume (TVe) in ml,400,407,7,± 10%,Pass","90","","",""
"138","13","6,Minute volume (MVe) in ml,5.3,5.4,0.1,± 10%,Pass","90","","",""
"139","13","7,Positive End Expiratory Pressure in cm H2O,5,5,0,± 2 cm H2O,Pass","90","","",""
"140","13","8,Positive End Expiratory Pressure in cm H2O,3,3,0,± 2 cm H2O,Pass","90","","",""
"141","13","9,PIP IN PRESURE CONTROL MODE,20,20,0,± 2 cm H2O,Pass","90","","",""
"142","13","10,Plateau pressure in volume mode,17,17,0,± 2 cm H2O,Pass","90","","",""
"143","16","1,134.2,1,2,3,2,2,2,3,± 3 ºC,Pass","91","","",""
"144","16","2,333,2,2,3,3,3,2,3,± 3 ºC,Pass","91","","",""
"145","16","3,111,3,3,2,3,3,2,3,± 3 ºC,Pass","91","","",""
"146","34","1,60,1,32,43,45,34,6,3,3,± 5 ºC,Pass","92","","",""
"147","12","1,Breath rate (IE),25,1,± 2BPM,Pass","93","","",""
"148","12","2,Inspiratory Positive Airway Pressure(IPAP) in cm H2O,16,2,± 2 cm H2O,Pass","93","","",""
"149","12","3,Expiratory Positive Airway Pressure(EPAP) in cm H2O,6,4,± 2 cm H2O,Pass","93","","",""
"150","9","1,50,1,2,+/- 5 %,Pass","94","","",""
"151","9","2,100,2,3,+/- 5 %,Pass","94","","",""
"152","9","3,150,3,4,+/- 5 %,Pass","94","","",""
"153","9","4,200,5,5,+/- 5 %,Pass","94","","",""
"154","4","1,20,1,2,3,4,5,6,7,8,1,Pass","95","","",""
"155","4","2,30,1,2,3,4,5,6,7,8,1.5,Pass","95","","",""
"156","4","3,50,1,2,3,4,5,6,7,8,2.5,Pass","95","","",""
"157","4","1,20,34,66,76,76,76,54,65,6,1,Pass","96","","",""
"158","4","2,30,34,66,76,55,87,76,76,5,1.5,Pass","96","","",""
"159","4","3,50,34,66,76,55,45,43,87,8,2.5,Pass","96","","",""
"160","15","50,27.3,* Normal Sync time should be within 20 to 30 milli second","97","","",""
"161","15","100,22,^ Normal Sync time should be within 50 to 60 milli second","97","","",""
"162","15","200,22,tfgfgfgf","97","","",""
"163","15","50,27.3,* Normal Sync time should be within 20 to 30 milli second","98","","",""
"164","15","100,22,^ Normal Sync time should be within 50 to 60 milli second","98","","",""
"165","15","200,22,cvfgfgg","98","","",""
"166","9","1,50,111,111,+/- 5 %,Pass","99","","",""
"167","9","2,100,111,111,+/- 5 %,Pass","99","","",""
"168","9","3,150,111,111,+/- 5 %,Pass","99","","",""
"169","9","4,200,111,111,+/- 5 %,Pass","99","","",""
"170","29","1,20,012,24,987,27,724,20,000 – 160,000,Pass","100","","",""
"171","15","50,27.3,* Normal Sync time should be within 20 to 30 milli second","101","","",""
"172","15","100,22,^ Normal Sync time should be within 50 to 60 milli second","101","","",""
"173","15","200,22,dgdd","102","","",""
"174","13","2,Breath rate (IE),20,20,0,± 1BPM,Pass","102","","",""
"175","13","3,I:E Ratio (IE),1:1.5,1:1.5,0:0,± 0.5,Pass","102","","",""
"176","13","4,I:E Ratio (IE),2:1,2:1,0,± 0.5,Pass","102","","",""
"177","13","5,Tidal Volume (TVe) in ml,400,407,7,± 10%,Pass","102","","",""
"178","13","6,Minute volume (MVe) in ml,5.3,5.4,0.1,± 10%,Pass","102","","",""
"179","13","7,Positive End Expiratory Pressure in cm H2O,5,5,0,± 2 cm H2O,Pass","102","","",""
"180","13","8,Positive End Expiratory Pressure in cm H2O,3,3,0,± 2 cm H2O,Pass","102","","",""
"181","13","9,PIP IN PRESURE CONTROL MODE,20,20,0,± 2 cm H2O,Pass","102","","",""
"182","13","10,Plateau pressure in volume mode,17,17,0,± 2 cm H2O,Pass","102","","",""
"183","1","1,Heart Rate,60,11,6,+/- 2 BPM,Pass","103","","",""
"184","1","2,Heart Rate,120,1,2,+/- 2 BPM,Pass","103","","",""
"185","1","3,Heart Rate,40,2,4,+/- 2 BPM,Pass","103","","",""
"186","13","2,Breath rate (IE),20,20,0,± 1BPM,Pass","103","","",""
"187","13","3,I:E Ratio (IE),1:1.5,1:1.5,0:0,± 0.5,Pass","103","","",""
"188","13","4,I:E Ratio (IE),2:1,2:1,0,± 0.5,Pass","103","","",""
"189","13","5,Tidal Volume (TVe) in ml,400,407,7,± 10%,Pass","103","","",""
"190","13","6,Minute volume (MVe) in ml,5.3,5.4,0.1,± 10%,Pass","103","","",""
"191","13","7,Positive End Expiratory Pressure in cm H2O,5,5,0,± 2 cm H2O,Pass","103","","",""
"192","13","8,Positive End Expiratory Pressure in cm H2O,3,3,0,± 2 cm H2O,Pass","103","","",""
"193","13","9,PIP IN PRESURE CONTROL MODE,20,20,0,± 2 cm H2O,Pass","103","","",""
"194","13","10,Plateau pressure in volume mode,17,17,0,± 2 cm H2O,Pass","104","","",""
"195","13","2,Breath rate (IE),20,20,0,± 1BPM,Pass","104","","",""
"196","13","3,I:E Ratio (IE),1:1.5,1:1.5,0:0,± 0.5,Pass","104","","",""
"197","13","4,I:E Ratio (IE),2:1,2:1,0,± 0.5,Pass","104","","",""
"198","13","5,Tidal Volume (TVe) in ml,400,407,7,± 10%,Pass","104","","",""
"199","13","6,Minute volume (MVe) in ml,5.3,5.4,0.1,± 10%,Pass","104","","",""
"200","13","7,Positive End Expiratory Pressure in cm H2O,5,5,0,± 2 cm H2O,Pass","104","","",""
"201","13","8,Positive End Expiratory Pressure in cm H2O,3,3,0,± 2 cm H2O,Pass","104","","",""
"202","13","9,PIP IN PRESURE CONTROL MODE,20,20,0,± 2 cm H2O,Pass","104","","",""
"203","13","10,Plateau pressure in volume mode,17,17,0,± 2 cm H2O,Pass","104","","",""
"204","4","1,20,1,2,3,4,5,1,3,5,1,Pass","105","","",""
"205","4","2,30,1,2,3,4,5,6,1,4,1.5,Pass","105","","",""
"206","4","3,50,2,4,5,3,4,5,6,3,2.5,Pass","105","","",""
"207","1","1,Heart Rate,60,11,6,+/- 2 BPM,Pass","106","","",""
"208","1","2,Heart Rate,120,1,2,+/- 2 BPM,Pass","106","","",""
"209","1","3,Heart Rate,40,2,4,+/- 2 BPM,Pass","106","","",""
"210","1","1,Heart Rate,60,11,6,+/- 2 BPM,Pass","107","","",""
"211","1","2,Heart Rate,120,1,2,+/- 2 BPM,Pass","107","","",""
"212","1","3,Heart Rate,40,2,4,+/- 2 BPM,Pass","107","","",""
"213","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","108","","",""
"214","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","108","","",""
"215","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","109","","",""
"216","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","109","","",""
"217","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","110","","",""
"218","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","110","","",""
"219","1","1,Heart Rate,60,60,0,+/- 2 BPM,Pass","111","","",""
"220","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","111","","",""
"221","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","111","","",""
"222","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","111","","",""
"223","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","111","","",""
"224","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","111","","",""
"225","9","1,50,53,3,+/- 5 %,Pass","111","","",""
"226","9","2,100,104,4,+/- 5 %,Pass","111","","",""
"227","9","3,150,153,3,+/- 5 %,Pass","111","","",""
"228","9","4,200,202,2,+/- 5 %,Pass","111","","",""
"229","1","1,Heart Rate,60,1,2,+/- 2 BPM,Pass","113","","",""
"230","1","2,Heart Rate,120,2,3,+/- 2 BPM,Pass","113","","",""
"231","1","3,Heart Rate,40,2,1,+/- 2 BPM,Pass","113","","",""
"232","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","114","","",""
"233","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","114","","",""
"234","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","114","","",""
"235","2","1,95,75,96,76,1,1,±2,±2,Pass","114","","",""
"236","2","2,90,65,91,66,1,1,±2,±2,Pass","114","","",""
"237","2","3,80,60,81,61,1,1,±2,±2,Pass","114","","",""
"238","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","114","","",""
"239","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","114","","",""
"240","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","115","","",""
"241","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","115","","",""
"242","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","115","","",""
"243","9","1,50,51,1,+/- 5 %,Pass","115","","",""
"244","9","2,100,104,4,+/- 5 %,Pass","115","","",""
"245","9","3,150,153,3,+/- 5 %,Pass","115","","",""
"246","9","4,200,202,2,+/- 5 %,Pass","115","","",""
"247","9","1,50,49.2,.8,+/- 5 %,Pass","116","","",""
"248","9","2,100,98.3,1.7,+/- 5 %,Pass","116","","",""
"249","9","3,150,147.5,2.5,+/- 5 %,Pass","116","","",""
"250","9","4,200,201.2,1.2,+/- 5 %,Pass","116","","",""
"251","33","1,160,159,159.4,159.3,159.2,159.5,159.2,159.25,.25,± 1 ºC,Pass","117","","",""
"252","34","1,60,59,59.3,59.2,59.3,59.4,59.5,59.24,.24,± 5 ºC,Pass","118","","",""
"253","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","119","","",""
"254","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","119","","",""
"255","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","119","","",""
"256","2","1,95,75,96,76,1,1,±2,±2,Pass","119","","",""
"257","2","2,90,65,91,66,1,1,±2,±2,Pass","119","","",""
"258","2","3,80,60,81,61,1,1,±2,±2,Pass","119","","",""
"259","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","119","","",""
"260","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","119","","",""
"261","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","120","","",""
"262","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","120","","",""
"263","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","120","","",""
"264","2","1,95,75,96,76,1,1,±2,±2,Pass","120","","",""
"265","2","2,90,65,91,66,1,1,±2,±2,Pass","120","","",""
"266","2","3,80,60,81,61,1,1,±2,±2,Pass","120","","",""
"267","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","120","","",""
"268","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","120","","",""
"269","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","121","","",""
"270","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","121","","",""
"271","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","121","","",""
"272","2","1,95,75,96,76,1,1,±2,±2,Pass","121","","",""
"273","2","2,90,65,91,66,1,1,±2,±2,Pass","121","","",""
"274","2","3,80,60,81,61,1,1,±2,±2,Pass","121","","",""
"275","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","121","","",""
"276","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","121","","",""
"277","1","1,Heart Rate,60,61,1,+/- 2 BPM,Pass","122","","",""
"278","1","2,Heart Rate,120,121,1,+/- 2 BPM,Pass","122","","",""
"279","1","3,Heart Rate,40,41,1,+/- 2 BPM,Pass","122","","",""
"280","2","1,95,75,96,76,1,1,±2,±2,Pass","122","","",""
"281","2","2,90,65,91,66,1,1,±2,±2,Pass","122","","",""
"282","2","3,80,60,81,61,1,1,±2,±2,Pass","122","","",""
"283","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","122","","",""
"284","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","122","","",""
"285","4","1,20,21,20,22,21,20,20.23,.23,,1,Pass","123","","",""
"286","4","2,30,31,30,32,31,30,30.52,.52,,1.5,Pass","123","","",""
"287","4","3,50,51,50,52,51,50,50.45,.45,,2.5,Pass","123","","",""
"288","4","1,20,23,22,21,20,19,20.76,.76,,1,Pass","125","","",""
"289","4","2,30,31,30,32,30,29,30.32,.32,,1.5,Pass","125","","",""
"290","4","3,50,51,50,51,50,49,50.45,.45,,2.5,Pass","125","","",""
"291","8","Coagulation,100,100,661,1,22,Pass","127","","",""
"292","8","Coagulation,75,100,2,3,4,Pass","127","","",""
"293","8","Coagulation,50,100,5,6,7,Pass","127","","",""
"294","8","Coagulation,25,100,3,5,8,Pass","127","","",""
"295","15","50,27.3,* Normal Sync time should be within 20 to 30 milli second","127","","",""
"296","15","100,22,^ Normal Sync time should be within 50 to 60 milli second","127","","",""
"297","15","200,22,jkkjjgjfjhg","127","","",""
"298","32","1,20,20.03,03,± .05g,Pass","130","","",""
"299","32","2,50,50.02,02,± .05g,Pass","130","","",""
"300","32","3,100,100.02,02,± .05g,Pass","130","","",""
"301","32","4,150,150.04,04,± .05g,Pass","130","","",""
"302","32","5,200,200,0,± .05g,Pass","130","","",""
"303","9","1,50,1,2,+/- 5 %,Pass","130","","",""
"304","9","2,100,2,3,+/- 5 %,Pass","130","","",""
"305","9","3,150,3,4,+/- 5 %,Pass","130","","",""
"306","9","4,200,4,5,+/- 5 %,Pass","130","","",""
"307","10","Cut,400,500,12,11,60,Pass","131","","",""
"308","10","Cut,300,500,11,21,45,Pass","131","","",""
"309","10","Cut,200,500,12,33,30,Pass","131","","",""
"310","10","Cut,100,500,22,33,15,Pass","131","","",""
"311","10","Cut,50,500,44,55,7.5,Pass","131","","",""
"312","10","Coagulation,100,500,45,45454,15,Pass","131","","",""
"313","10","Coagulation,80,500,454,44,12,Pass","131","","",""
"314","10","Coagulation,50,500,44,44,7.5,Pass","131","","",""
"315","10","Coagulation,20,500,44,44,3,Pass","131","","",""
"316","9","1,50,1,2,+/- 5 %,Pass","132","","",""
"317","9","2,100,2,3,+/- 5 %,Pass","132","","",""
"318","9","3,150,3,4,+/- 5 %,Pass","132","","",""
"319","9","4,200,4,5,+/- 5 %,Pass","132","","",""
"320","6","1,2000,2139,2138,2141,2144,2142,2140.8,0.8,107,+/-5%,Pass","133","","",""
"321","6","2,3000,3015,3016,3012,3011,3010,3012.8,-7.2,151,+/-5%,Pass","133","","",""
"322","1","1,Heart Rate,60,1,2,+/- 2 BPM,Pass","134","","",""
"323","1","2,Heart Rate,120,2,3,+/- 2 BPM,Pass","134","","",""
"324","1","3,Heart Rate,40,2,1,+/- 2 BPM,Pass","134","","",""
"325","28","1,-10.0,8.9,8.1,8.3,8.4,8.6,8.7,8.13,.13,± 5 ºC,Pass","135","","",""
"326","33","1,160,159,159.3,159.4,159.6,159.2,159.2,159.32,0.32,± 1 ºC,Pass","136","","",""
"327","34","1,60,59,59.2,59.8,59.4,59.3,59.2,59.45,.45,± 5 ºC,Pass","137","","",""
"328","28","1,-10.0,1,2,3,4,5,6,2,12,± 5 ºC,Pass","142","","",""
"329","1","1,Heart Rate,60,11,6,+/- 2 BPM,Pass","143","","",""
"330","1","2,Heart Rate,120,1,2,+/- 2 BPM,Pass","143","","",""
"331","1","3,Heart Rate,40,2,4,+/- 2 BPM,Pass","143","","",""
"332","9","1,50,111,111,+/- 5 %,Pass","143","","",""
"333","9","2,100,111,3,+/- 5 %,Pass","143","","",""
"334","9","3,150,3,4,+/- 5 %,Pass","143","","",""
"335","9","4,200,5,5,+/- 5 %,Pass","143","","",""
"336","4","1,20,23,76,5,6,4,9,6,7,1,Pass","146","","",""
"337","4","2,30,3,4,5,6,7,8,9,6,1.5,Pass","146","","",""
"338","4","3,50,1,2,3,7,4,8,9,6,2.5,Pass","146","","",""
"339","1","1,Heart Rate,60,,,+/- 2 BPM,Pass","148","","",""
"340","1","2,Heart Rate,120,,,+/- 2 BPM,Pass","148","","",""
"341","1","3,Heart Rate,40,,,+/- 2 BPM,Pass","148","","",""
"342","2","1,95,75,,,,,±2,±2,Pass","148","","",""
"343","2","2,90,65,,,,,±2,±2,Pass","148","","",""
"344","2","3,80,60,,,,,±2,±2,Pass","148","","",""
"345","3","1,120,80,90,121,82,88,1,2,-2,±5,±5,±5,Pass","148","","",""
"346","3","2,150,100,115,148,98,112,-2,-2,-3,±5,±5,±5,Pass","148","","",""
"347","1","1,Heart Rate,60,,,+/- 2 BPM,Pass","149","","",""
"348","1","2,Heart Rate,120,,,+/- 2 BPM,Pass","149","","",""
"349","1","3,Heart Rate,40,,,+/- 2 BPM,Pass","149","","",""
"350","2","1,95,75,,,,,±2,±2,Pass","149","","",""
"351","2","2,90,65,,,,,±2,±2,Pass","149","","",""
"352","2","3,80,60,,,,,±2,±2,Pass","149","","",""
"353","19","1,35.0,,,,,± 0.5ºC,Pass","151","","",""
"354","19","2,36.0,,,,,± 0.5ºC,Pass","151","","",""
"355","9","1,50,,,+/- 5 %,Pass","152","","",""
"356","9","2,100,,,+/- 5 %,Pass","152","","",""
"357","9","3,150,,,+/- 5 %,Pass","152","","",""
"358","9","4,200,,,+/- 5 %,Pass","152","","",""
"359","19","1,35.0,,,,,± 0.5ºC,Pass","154","","",""
"360","19","2,36.0,,,,,± 0.5ºC,Pass","154","","",""
"361","1","1,Heart Rate,60,,,+/- 2 BPM,Pass","155","","",""
"362","1","2,Heart Rate,120,,,+/- 2 BPM,Pass","155","","",""
"363","1","3,Heart Rate,40,,,+/- 2 BPM,Pass","155","","",""
"364","2","1,95,75,,,,,±2,±2,Pass","156","","",""
"365","2","2,90,65,,,,,±2,±2,Pass","156","","",""
"366","2","3,80,60,,,,,±2,±2,Pass","156","","",""
"367","1","1,Heart Rate,60,1,2,+/- 2 BPM,Pass","157","","",""
"368","1","2,Heart Rate,120,2,3,+/- 2 BPM,Pass","157","","",""
"369","1","3,Heart Rate,40,2,1,+/- 2 BPM,Pass","157","","",""
"370","19","1,35.0,,,,,± 0.5ºC,Pass","158","","",""
"371","19","2,36.0,,,,,± 0.5ºC,Pass","158","","",""
"372","32","1,20,,,± .05g,Pass","159","","",""
"373","32","2,50,,,± .05g,Pass","159","","",""
"374","32","3,100,,,± .05g,Pass","159","","",""
"375","32","4,150,,,± .05g,Pass","159","","",""
"376","32","5,200,,,± .05g,Pass","159","","",""
"377","32","1,20,20,0,± .05g,Pass","160","","",""
"378","32","2,50,50,0,± .05g,Pass","160","","",""
"379","32","3,100,100.02,0.02,± .05g,Pass","160","","",""
"380","32","4,150,150,0,± .05g,Pass","160","","",""
"381","32","5,200,200.02,0.02,± .05g,Pass","160","","",""
"382","36","1,7.7,7.6,8.5,6.5,7.7,7.66,2 ºC to8 ºC,Pass","161","","",""
"383","26","2,50.6,50.2,50.3,50.7,50.2,50.3,50.32,0.32,± 2 ºC,Pass","161","","",""
"384","35","1,-11.3,-10.9,-9.7,-9.3,-8.4,-9.90,-8 ºC to-18 ºC,Pass","161","","",""
"385","36","1,7.7,7.6,8.5,6.5,7.7,7.66,2 ºC to8 ºC,Pass","161","","",""
"386","36","1,7.7,7.6,8.5,6.5,7.7,7.66,2 ºC to8 ºC,Pass","162","","",""
"387","26","2,50.6,50.4,50.6,50.5,50.8,50.6,50.52,0.52,± 2 ºC,Pass","162","","",""
"388","35","1,-11.3,-11.9,-9.7,-10.3,-12.4,-11.90,-8 ºC to-18 ºC,Pass","162","","",""
"389","36","1,7.7,6.6,8.5,5.5,7.7,6.66,2 ºC to8 ºC,Pass","162","","",""
"395","26","1,37.1,37.6,37.4,37.3,37.2,37.5,37.45,.45,± 2 ºC,Pass","164","","",""
"396","26","2,50.6,50.2,50.3,50.4,50.2,50.4,50.32,.32,± 2 ºC,Pass","164","","",""
"397","35","1,-11.3,-10.9,-6.7,-12.3,-12.4,-13.90,-8 ºC to-18 ºC,Pass","164","","",""
"398","36","1,5.7,7.6,8.5,5.5,5.7,6.23,2 ºC to8 ºC,Pass","164","","",""
"399","6","1,2000,2139,2138,2141,2144,2142,2140.8,0.8,107,+/-5%,Pass","166","","",""
"400","6","2,3000,3015,3016,3012,3011,3010,3012.8,0.8,151,+/-5%,Pass","166","","",""
"401","6","1,2000,2139,2142,2141,2144,2142,2142.8,2.8,107,+/-5%,Pass","167","","",""
"402","6","2,3000,3015,3016,3012,3013,3023,3013.8,3.8,151,+/-5%,Pass","167","","",""
"403","36","1,7.7,7.6,8.5,6.5,7.7,7.66,2 ºC to8 ºC,Pass","170","","",""
"404","26","2,50.6,50.7,50.3,50.2,50.6,50.4,50.44,0.44,± 2 ºC,Pass","170","","",""
"405","35","1,-11.3,-10.9,-9.7,-9.3,-8.4,-9.90,-8 ºC to-18 ºC,Pass","170","","",""
"406","36","1,7.7,7.6,8.5,6.5,6.7,6.66,2 ºC to8 ºC,Pass","170","","",""
"407","36","1,7.7,7.6,8.5,6.5,7.7,6.66,2 ºC to8 ºC,Pass","175","","",""
