"Tracibility_ID","Instrument","Make","Model","Serial_No","Traceability_call_due","Reference","ActiveStatus","CreatedDate"
"110","GAS FLOW ANALYSER(NEW)","FLUKE","VT MOBILE","2572019","02/02/2016","ANNEXURE 8","",""
"111","SPO2 STIMULATOR","FLUKE","SPOT LIGHT","2568011","10/10/2015","ANNEXURE 6","",""
"112","ELECTRONIC BALANCE","SARTORIOUS","CPA225D","28007369","06/05/2016","ANNEXURE 19","",""
"113","CONTROL SOLUTION FOR BLOOD GLUCOSE","PRODIGY","52810","D:6140113-1","JAN:2016","NA","",""
"114","THERMO ANEMOMETER 1","EQINOX","EQ-618B","130905432","15/01/2016","ANNEXURE 17","",""
"115","INFUSION DEVICE ANALYSER 2","FLUKE","IDA 5","2711047","20/03/2016","ANNEXURE 21","",""
"116","COMPOUND GUAGE","DRAGER","DRAGER","9887","02/10/2016","ANNEXURE 20","",""
"117","DIGITAL TACHOMETER","EQUINOX","EQ-8013","S030955","23/07/2016","ANNEXURE 22","",""
"118","DIGITAL MULTIMETER","FLUKE","17 B","24410335","23/07/2016","ANNEXURE 23","",""
"119","DIGITAL PRESSURE GUAGE 2","EQUINOX","P9-810C-A","2013012016","22/11/2016","ANNEXURE 24","",""
"120","STANDARD WEIGHTS F1 CLASS 1","WEIGH INDIA","WEIGH INDIA","WE 123","04/11/2015","ANNEXURE 25","",""
"121","INFUSION DEVICE ANALYSER 3","FLUKE","IDA 5","2711047","06/08/2017","ANNEXURE 26","",""
"122","VACCUM GUAGE 3","DYNAMIC","NA","MM/150717B/02","25/07/2017","ANNEXURE 27","",""
"123","DIGITAL LUX METER","HTC","HTC","2102950","18/05/2017","ANNEXURE 28","",""
"124","WEIGHTS","LK&CW","LK&CW","NA","28/10/2016","ANNEXURE 29","",""
"125","WEIGHTS","NA","NA","NA","29/10/2016","ANNEXURE 30","",""
"126","WEIGHT","CW","CW","NA","28/10/2016","ANNEXURE 31","",""
"127","STANDARD WEIGHTS","NA","NA","NA","16/11/2016","ANNEXURE 32","",""
"128","ANALYTICAL WEIGHT BOX","NA","NA","MM/151020A/05","02/11/2016","ANNEXURE 33","",""
"129","THERMOCOUPLE WITH DMM","FLUKE ","17 B","24410335","14/09/2016","ANNEXURE 34","",""
"130","ELECTRO SAFETY ANALYSER 3","FLUKE","ESA615","2244039","18/05/2017","ANNEXURE 35","True","5/28/2016 4:45:40 PM"
"131","GAS FLOW ANALYSER 3","FLUKE","VT MOBILE","2572019","16/06//2017","ANNEXURE 36","True","5/28/2016 5:16:16 PM"
"1130","SPO2 FUNCTIONAL TESTER","FLUKE","SPOT LIGHT","2568011","17/06/2017","ANNEXURE 37","True","7/22/2016 11:40:28 AM"
"1131","MULTIPARA PATIENT STIMULATOR","FLUKE","PROSIM 3","2577005","18/05/2017","ANNEXURE 38","True","7/22/2016 11:42:08 AM"
"1132","DEFIBRILLATOR ANALYZER 3","FLUKE","IMPULSE 6000D","2568030","18/05/2017","ANNEXURE 39","True","7/22/2016 11:47:42 AM"
"1133","DIGITAL TACHO METER NEW","EQUINOX","EQ-801B","S012819","18/05/2017","ANNEXURE 40","True","7/22/2016 11:50:26 AM"
"1134","ELECTRO SURGERY ANALYZER 3","FLUKE","RF303","2569061","18/05/2017","ANNEXURE 41","True","7/22/2016 11:51:43 AM"
"1135","DIGITAL LUX METER","LUTRON","LX-101A","2102950","18/05/2017","ANNEXURE 42","True","7/22/2016 11:53:18 AM"
"1136","DIGITAL THERMO ANEMOMETER NEW","EQUINOX","EQ-618B","NIL","18/05/2017","ANNEXURE 43","True","7/22/2016 11:55:30 AM"
"1137","PT-100 SENSOR  WITH INDICATOR","THERMOTRON/YUDIAN","CLASS A(PT-100)","18793/15H310423","23/07/2017","ANNEXURE 44","True","8/6/2016 3:16:04 PM"
"1138","DIGITAL OSCILLOSCOPE","TEKTRONIX","TBS1072B","C011116","21/10/2016","ANNEXURE 44","True","10/3/2016 3:43:43 PM"
