"DUT_ID","Report_info_ID","Serial_No","Biomedical_ID","Location","Condition_of_item","ElectricalSafety","Performance","ActiveStatus","CreatedDate"
"151","174","16451ANKC","A/BC/EA/01","BIOCHEMISTRY","No Visible Damage","True","False","",""
"152","175","NA","NA","BIOCHEMISTRY","No Visible Damage","False","True","",""
"153","176","NA","NA","BIOCHEMISTRY","No Visible Damage","False","True","",""
"154","177","NA","NA","BIOCHEMISTRY","No Visible Damage","False","True","",""
"155","178","NA","NA","BIOCHEMISTRY","No Visible Damage","False","True","",""
"156","179","052010C4F200B0586","A/BC/DFR/01","BIOCHEMISTRY","No Visible Damage","False","True","",""
"157","180","18207C72","NA","BIOCHEMISTRY","No Visible Damage","True","False","",""
"158","181","J07R2070A000327","FR4","MICROBIOLOGY","No Visible Damage","False","True","",""
"159","182","NA","FR5","MB","No Visible Damage","False","True","",""
"160","183","JA7G40711036333IN","F6","MICROBIOLOGY","No Visible Damage","False","True","",""
"161","184","KF01 KO1 00275","F3","MICROBIOLOGY","No Visible Damage","False","True","",""
"162","185","NA","F1","MICROBIOLOGY","No Visible Damage","False","True","",""
"163","186","2SAEN5-1574","FR2","MICROBIOLOGY","No Visible Damage","False","True","",""
"164","187","05257","NA","MB","No Visible Damage","True","True","",""
"165","188","05257","NA","MB","No Visible Damage","True","True","",""
"166","189","HHLC-11850","NA","MB","No Visible Damage","True","True","",""
"167","190","0404","NA","MB","No Visible Damage","True","False","",""
"168","191","0402","NA","MB","No Visible Damage","False","False","",""
"169","192","0406","NA","MB","No Visible Damage","True","True","",""
"170","193","235","NA","MB","No Visible Damage","True","True","",""
"171","194","0215","NA","MB","No Visible Damage","True","True","",""
"172","195","NA","NA","MB","No Visible Damage","True","False","",""
"173","196","0431","NA","MB","No Visible Damage","False","True","",""
"174","197","0405","NA","MB","No Visible Damage","True","True","",""
"175","198","NA","NA","MICROBIOLOGY","No Visible Damage","False","True","",""
"176","199","NA","NA","MB","No Visible Damage","False","True","",""
"177","200","mm","aa","casuality","No Visible Damage","True","True","",""
"178","201","048098","NA","MB","No Visible Damage","True","False","",""
"179","202","NA","NA","MB","No Visible Damage","True","False","",""
"180","203","101091","NA","MICROBIOLOGY","No Visible Damage","True","False","",""
"181","204","101091","NA","MICROBIOLOGY","No Visible Damage","True","False","",""
"182","205","101091","NA","MB","No Visible Damage","True","False","",""
"183","206","07MWP06004","NA","MB","No Visible Damage","False","True","",""
"184","207","aa","aa","DD","No Visible Damage","True","True","",""
"185","208","7887","7887","sicu","No Visible Damage","True","True","",""
"186","209","ss","aa","LAB","No Visible Damage","True","True","",""
"187","210","BYMFOD4411","NA","SSICU","No Visible Damage","True","True","",""
"188","211","22381634","NA","MICU","No Visible Damage","True","True","",""
"189","212","22381722","NA","MICU","No Visible Damage","True","True","",""
"190","213","AUTB9J2564","A/MI/MPM/06","MICU","No Visible Damage","True","True","",""
"191","214","12C2A6C9","A/MI/SP/12","MICU","No Visible Damage","True","True","",""
"192","214","12C2A6C9","A/MI/SP/12","MICU","No Visible Damage","True","True","",""
"193","215","12C26BF9","A/MI/SP/11","MICU","No Visible Damage","True","True","",""
"194","216","22381708","BME 123","MICU","No Visible Damage","True","True","",""
"195","217","178471","A/S1/SP/07","SICU","No Visible Damage","True","True","",""
"196","218","177563","A/S1/SP/09","SICU","No Visible Damage","True","True","",""
"197","219","178494","A/SI/SP/11","SICU","No Visible Damage","True","True","",""
"198","220","177647","A/SI/SP/04","SICU","No Visible Damage","True","True","",""
"199","221","178493","A/SI/SP/03","SICU","No Visible Damage","True","True","",""
"200","222","158674","A/SI/SP/01","SICU","No Visible Damage","True","True","",""
"201","223","F10P1860","A/MI/MPM/06","SICU","No Visible Damage","True","True","",""
"202","224","F12SM2037","A/SI/MPM/11","SICU","No Visible Damage","True","True","",""
"203","225","F10P1856","A/SI/MPM/05","SICU","No Visible Damage","True","True","",""
"204","226","F12SM2033","A/SI/MPM/16","SICU","No Visible Damage","True","True","",""
"205","227","F10P1857","A/SI/MPM/8","SICU","No Visible Damage","True","True","",""
"206","228","F12SM2047","A/SI/MPM/15","SICU","No Visible Damage","True","True","",""
"207","229","F12SM2025","A/SI/MPM/10","SICU","No Visible Damage","True","True","",""
"208","230","12C1C03B","A/MI/SP/02","MICU","No Visible Damage","True","True","",""
"209","231","WAA06470041SA","A/SI/MPM/3","SICU","No Visible Damage","True","True","",""
"210","232","WAA0745005SA","A/SI/MPM/2","SICU","No Visible Damage","True","True","",""
"211","233","F12SM2044","A/SI/MPM/12","SICU","No Visible Damage","True","True","",""
"212","234","65719","A/MI/IP/11","MICU","No Visible Damage","True","True","",""
"213","235","F12SM1815","A/SI/MPM/09","SICU","No Visible Damage","True","True","",""
"214","236","F10P1859","A/SI/MPM/07","SICU","No Visible Damage","True","True","",""
"215","237","FCE06450004SA","A/SI/PM/2","SICU","No Visible Damage","True","True","",""
"216","238","59243","A/SI/IP/6","SICU","No Visible Damage","True","True","",""
"217","239","59212","A/SI/IP/7","SICU","No Visible Damage","True","True","",""
"218","240","49915","A/SI/IP/4","SICU","No Visible Damage","True","True","",""
"219","241","47425","A/SI/IP/5","SICU","No Visible Damage","True","True","",""
"220","242","AAMC4K2427","A/SI/DF/1","SICU","No Visible Damage","True","True","",""
"221","243","56196","A/MI/IP/06","MICU","No Visible Damage","True","True","",""
"222","244","NA","NA","SICU","No Visible Damage","False","True","",""
"223","245","91676","NA","MICU","No Visible Damage","True","True","",""
"224","246","T12P3375","A/POW/MPM/4","POW","No Visible Damage","True","True","",""
"225","247","CLMA6C1447","A/POW/BM/2","POW","No Visible Damage","True","True","",""
"226","248","CKMH8K1546","A/POW/PO/3","POW","No Visible Damage","True","True","",""
"227","249","CLMA6B1313","A/POW/BM/4","POW","No Visible Damage","True","True","",""
"228","250","AFMD5C1558","A/POW/P0/1","POW","No Visible Damage","True","True","",""
"229","251","65929","A/MI/IP/10","MICU","No Visible Damage","True","True","",""
"230","252","102501","A/MI/SP/04","MICU","No Visible Damage","True","True","",""
"231","253","12C26BC6","A/MI/SP/01","MICU","No Visible Damage","True","True","",""
"232","254","AUTB9J2557","A/MI/MPM/09","MICU","No Visible Damage","True","True","",""
"233","255","22381721","NA","MICU","No Visible Damage","True","True","",""
"234","256","AUTB9J2567","A/MI/MPM/05","MICU","No Visible Damage","True","True","",""
"235","257","CRTM9J4444","A/MI/MPM/17","MICU","No Visible Damage","True","True","",""
"236","258","49911","A/MI/IP/03","MICU","No Visible Damage","True","True","",""
"237","259","CLMA6B1326","A/POW/BM/1","POW","No Visible Damage","True","True","",""
"238","260","CRTM9J4407","A/MI/MPM/12","MICU","No Visible Damage","True","True","",""
"239","261","CLMA6C1408","A/POW/BM/3","POW","No Visible Damage","True","True","",""
"240","262","AUTB9J2574","A/MI/MPM/10","MICU","No Visible Damage","True","True","",""
"241","263","CKMH8J1513","A/POW/PO/2","POW","No Visible Damage","True","True","",""
"242","264","91701","NA","MICU","No Visible Damage","True","True","",""
"243","265","AUTB9J2560","A/MI/MPM/08","MICU","No Visible Damage","True","True","",""
"244","266","91665","NA","MICU","No Visible Damage","True","True","",""
"245","267","T12P3376","A/POW/MPM/5","POW","No Visible Damage","True","True","",""
"246","268","91664","NA","MICU","No Visible Damage","True","True","",""
"247","269","56195","A/POW/IP/01","POW","No Visible Damage","True","True","",""
"248","270","BZME9J1976","A/MI/DF/02","MICU","No Visible Damage","True","True","",""
"249","271","13140328","NA","POW","No Visible Damage","False","True","",""
"250","272","WAA0640025SA","A/NSI/MPM/1","NSICU","No Visible Damage","True","True","",""
"251","273","65934","A/MI/IP/09","MICU","No Visible Damage","True","True","",""
"252","274","157466","A/NSI/SP/01","NSICU","No Visible Damage","True","True","",""
"253","275","AUTB9K2618","A/NSI/MPM/02","NSICU","No Visible Damage","True","True","",""
"254","276","NA","A/PATH/WB/02","PATHOLOGY","No Visible Damage","False","True","",""
"255","277","173751","A/NSI/SP/02","NSICU","No Visible Damage","True","True","",""
"256","278","CRTM0M5557","A/NSI/MPM/5","NSICU","No Visible Damage","True","True","",""
"257","279","AUTB9J2561","A/MI/MPM/07","MICU","No Visible Damage","True","True","",""
"258","280","173772","A/NSI/SP/03","NSICU","No Visible Damage","True","True","",""
"259","281","AUTB9J2577","A/MI/MPM/02","MICU","No Visible Damage","True","True","",""
"260","282","WAA0647030SA","A/NSI/MPM/4","NSICU","No Visible Damage","True","True","",""
"261","283","AUTB9J2556","A/MI/MPM/04","MICU","No Visible Damage","True","True","",""
"262","284","AUTB9J2569","A/MI/MPM/01","MICU","No Visible Damage","True","True","",""
"263","285","CRTM9J4426","A/MI/MPM/13","MICU","No Visible Damage","True","True","",""
"264","286","CRTM9J4416","A/MI/MPM/16","MICU","No Visible Damage","True","True","",""
"265","287","102502","A/MI/SP/06","MICU","No Visible Damage","True","True","",""
"266","288","12C260P1","A/MI/SP/08","MICU","No Visible Damage","True","True","",""
"267","289","CRTM9J4425","A/MI/MPM/14","MICU","No Visible Damage","True","True","",""
"268","290","CRTM9J4406","A/MI/MPM/15","MICU","No Visible Damage","True","True","",""
"269","291","AUTB9J2575","A/MI/MPM/11","MICU","No Visible Damage","True","True","",""
"270","292","AUTB9J2571","A/MI/MPM/03","MICU","No Visible Damage","True","True","",""
"271","293","96500","NA","MICU","No Visible Damage","True","True","",""
"272","294","56192","A/MI/IP/04","MICU","No Visible Damage","True","True","",""
"273","295","18198","A/MI/VENT/4","MICU","No Visible Damage","True","True","",""
"274","296","11629","A/MI/VENT/3","MICU","No Visible Damage","True","True","",""
"275","297","56170","A/NSI/IP/02","NSICU","No Visible Damage","True","True","",""
"276","298","178470","A/SI/SP/06","SICU","No Visible Damage","True","True","",""
"277","299","FCE07070067SA","A/NSI/PM/1","NSICU","No Visible Damage","True","True","",""
"278","300","AUTB9K2617","A/NSI/MPM/3","NSICU","No Visible Damage","True","True","",""
"279","301","56160","A/NSI/IP/01","NSICU","No Visible Damage","True","True","",""
"280","302","L01C5278","A/SI/MPM/01","SICU","No Visible Damage","True","True","",""
"281","303","58258","A/NSI/IP/05","NSICU","No Visible Damage","True","True","",""
"282","304","CRTM1A5593","A/NSI/MPM/6","NSICU","No Visible Damage","True","True","",""
"283","305","CRTA7L2406","A/NSI/MPM/7","NSICU","No Visible Damage","True","True","",""
"284","306","177633","A/SI/SP/10","SICU","No Visible Damage","True","True","",""
"285","307","F12SM2034","A/SI/MPM/14","SICU","No Visible Damage","True","True","",""
"286","308","158665","A/SI/SP/12","SICU","No Visible Damage","True","True","",""
"287","309","dasdad","dadada","sdadad","No Visible Damage","False","True","",""
"288","310","FLLC/-3890","A/BC/CF/02","BIOCHEMISTRY","No Visible Damage","True","True","",""
"289","311","IALC-231","A/LAB/CF/04","CENTRAL LAB","No Visible Damage","True","True","",""
"290","312","1277111","BME-BDB-017","LAB","No Visible Damage","False","True","",""
"291","313","16190","BMT-BDB-016","BLOOD BANK","No Visible Damage","True","True","",""
"292","314","793/109","BME-BDB-014","BLOOD BANK","No Visible Damage","False","True","",""
"293","315","070612509","A/LAB/MS/01","CENTRAL LAB","No Visible Damage","True","False","",""
"294","316","13140421","NA","HEMATOLOGY","No Visible Damage","False","True","",""
"295","317","177631","A/SI/SP/08","SICU","No Visible Damage","True","True","",""
"296","318","F12SM2045","A/SI/MPM/13","SICU","No Visible Damage","True","True","",""
"297","319","177574","A/SI/SP/02","SICU","No Visible Damage","True","True","",""
"298","320","CRTMOE5041","A/SI/MPM/4","SICU","No Visible Damage","True","True","",""
"299","321","178488","A/SI/SP/05","SICU","No Visible Damage","True","True","",""
"300","322","56154","A/NSI/IP/03","NSICU","No Visible Damage","True","True","",""
"301","323","58331","A/NSI/IP/04","NSICU","No Visible Damage","True","True","",""
"302","324","US00100100","A/NSI/DF/01","NSICU","No Visible Damage","True","True","",""
"303","325","DTM SN:13140085","NA","NSICU","No Visible Damage","False","True","",""
"304","326","BZMA561099","A/SMI/DF/1","SEMI ICU","No Visible Damage","True","True","",""
"305","327","157456","A/SMI/SP/02","SEMI ICU","No Visible Damage","True","True","",""
"306","328","AUTMOM3030","A/SMI/MPM/02","SEMI ICU","No Visible Damage","True","True","",""
"307","329","156721","A/SMI/SP/03","SEMI ICU","No Visible Damage","True","True","",""
"308","330","AGMC4K3031","A/SMI/BM/01","SEMI ICU","No Visible Damage","True","True","",""
"309","331","CRTM0F5192","A/SMI/MPM/01","SEMI ICU","No Visible Damage","True","True","",""
"310","332","YMA3G2251","A/SMI/PM/1","SEMI ICU","No Visible Damage","True","True","",""
"311","333","65717","A/SMI/IP/02","SEMI ICU","No Visible Damage","True","True","",""
"312","334","F12SM309","A/SMI/MPM/03","SEMI ICU","No Visible Damage","True","True","",""
"313","335","AGMD5E3386","A/SMI/BM/2","SEMI ICU","No Visible Damage","True","True","",""
"314","336","65973","A/SMI/IP/02","SEMI ICU","No Visible Damage","True","True","",""
"315","337","T08WP00616","A/PI/MPM/5","PICU","No Visible Damage","True","True","",""
"316","338","158693","A/PI/SP/03","PICU","No Visible Damage","True","True","",""
"317","339","TO8WP00603","A/PI/MPM/4","PICU","No Visible Damage","True","True","",""
"318","340","21994028","A/PI/SP/5","PICU","No Visible Damage","True","True","",""
"319","341","T08WP00744","A/PI/MPM/03","PICU","No Visible Damage","True","True","",""
"320","342","21994081","A/PI/SP/08","PICU","No Visible Damage","True","True","",""
"321","343","21994022","A/PI/SP/04","PICU","No Visible Damage","True","True","",""
"322","344","21994075","A/PI/SP/7","PICU","No Visible Damage","True","True","",""
"323","345","78723","A/PI/IP/1","PICU","No Visible Damage","True","True","",""
"324","346","RLY0383S","A/PI/IP/02","PICU","No Visible Damage","True","True","",""
"325","347","66083","A/PI/IP/5","PICU","No Visible Damage","True","True","",""
"326","348","F12P3607","A/PI/MPM/07","PICU","No Visible Damage","True","True","",""
"327","349","F12P3569","A/PI/MPM/08","PICU","No Visible Damage","True","True","",""
"328","350","F12P3878","A/PI/MPM/06","PICU","No Visible Damage","True","True","",""
"329","351","WAA06470022","A/PI/MPM/02","PICU","No Visible Damage","True","True","",""
"330","352","BJTA5F1375","A/PI/MPM/01","PICU","No Visible Damage","True","True","",""
"331","353","NA","NA","PICU","No Visible Damage","False","True","",""
"332","354","97023","A/BB/BWB/01","BLOOD BANK","No Visible Damage","False","True","",""
"333","355","0911536","A/BB/BWB/02","BLOOD BANK","No Visible Damage","False","True","",""
"334","356","0801425","A/BB/TS/02","BLOOD BANK","No Visible Damage","True","False","",""
"335","357","0004060","A/BB/TS/01","BLOOD BANK","No Visible Damage","True","False","",""
"336","358","BDI-1599","A/BB/QF/01","BLOOD BANK","No Visible Damage","False","True","",""
"337","359","BDI-792","A/BB/DFR/01","BLOOD BANK","No Visible Damage","False","True","",""
"338","360","BDI-1159","A/BB/DFR/02","BLOOD BANK","No Visible Damage","False","True","",""
"339","361","IHC-658","A/BB/PI/01","BLOOD BANK","No Visible Damage","False","True","",""
"340","362","BDI-798","A/BB/BBR/01","BLOOD BANK","No Visible Damage","False","True","",""
"341","363","BDI-2339","A/BB/BBR/02","BLOOD BANK","No Visible Damage","False","True","",""
"342","364","IHC-2105","A/BB/BBR/03","BLOOD BANK","No Visible Damage","False","True","",""
"343","365","IHC/767","A/BB/CB/01","BLOOD BANK","No Visible Damage","True","False","",""
"344","366","HXCM-1157","A/BB/BCM/01","BLOOD BANK","No Visible Damage","True","False","",""
"345","367","FACM-1094","A/BB/BCM/02","BLOOD BANK","No Visible Damage","True","False","",""
"346","368","GBCM-1007","A/BB/BCM/03","BLOOD BANK","No Visible Damage","True","False","",""
"347","369","1101777","A/BB/BCM/04","BLOOD BANK","No Visible Damage","True","False","",""
"348","370","518/3/97","A/BB/LF/01","BLOOD BANK","No Visible Damage","False","True","",""
"349","371","ORC1/1352","A/BB/HDCC/01","BLOOD BANK","No Visible Damage","False","True","",""
"350","372","VCCC-2744","A/BB/HDCC/02","BLOOD BANK","No Visible Damage","False","True","",""
"351","373","FLLC-3888","A/BB/CF/02","BLOOD BANK","No Visible Damage","True","True","",""
"352","374","EPLC-3281","A/BB/CF/01","BLOOD BANK","No Visible Damage","True","True","",""
"353","375","LELC-13214","A/BB/CF/03","BLOOD BANK","No Visible Damage","True","True","",""
"354","376","1002428","A/BB/CF/04","BLOOD BANK","No Visible Damage","True","True","",""
"355","377","IHC/767","A/BB/WTB/01","BLOOD BANK","No Visible Damage","False","True","",""
"356","378","311","A/BB/IB/01","BLOOD BANK","No Visible Damage","True","True","",""
"357","379","1867","A/BB/HAO/01","BLOOD BANK","No Visible Damage","False","True","",""
"358","380","INC015105555","NA","BLOOD BANK","No Visible Damage","False","True","",""
"359","381","NA","NA","BLOOD BANK","No Visible Damage","False","True","",""
"360","382","BECM-170","A/BB/RS/01","BLOOD BANK","No Visible Damage","True","False","",""
"361","383","03014PAF803416A","NA","BLOOD BANK","No Visible Damage","False","True","",""
"362","384","AUTB1J3327","A/NI/MPM/06","NICU","No Visible Damage","True","True","",""
"363","385","AUTBOJ2876","A/NI/MPM/4","NICU","No Visible Damage","True","True","",""
"364","386","S07P25027","A/NI/PM/2","NICU","No Visible Damage","True","True","",""
"365","387","AUTB0F2848","A/NI/MPM/3","NICU","No Visible Damage","True","True","",""
"366","388","AUTB1J3324","A/NI/MPM/7","NICU","No Visible Damage","True","True","",""
"367","389","AUTB0H2872","A/NI/MPM/03","NICU","No Visible Damage","True","True","",""
"368","390","S00P8320","A/NI/PM/1","NICU","No Visible Damage","True","True","",""
"369","391","AUTBIH3289","A/NI/MPM/5","NICU","No Visible Damage","True","True","",""
